designation,discovery_date,h_mag,moid_au,q_au_1,q_au_2,period_yr,i_deg,pha,orbit_class
(2010 FC81),2010-03-30T00:00:00.000,21.8,0.027,1.01,4.35,4.38,1.68,Y,Apollo
(2010 FB81),2010-03-30T00:00:00.000,21.4,0.096,1.02,4.14,4.14,9.48,N,Amor
(2010 FA81),2010-03-29T00:00:00.000,22.3,0.035,1.01,1.38,1.31,15.48,N,Apollo
(2010 FZ80),2010-03-28T00:00:00.000,20.3,0.297,0.7,4.8,4.56,27.34,N,Apollo
(2010 FY80),2010-03-28T00:00:00.000,19.7,0.14,1.05,4.35,4.42,18.81,N,Amor
(2010 FX80),2010-03-27T00:00:00.000,20.6,0.535,1.18,3.15,3.19,36.96,N,Amor
(2010 EX119),2010-03-13T00:00:00.000,19.4,0.159,0.77,3.04,2.63,15.57,N,Apollo
(2010 EN44),2010-03-12T00:00:00.000,24.3,0.023,0.96,1.33,1.22,10.18,N,Apollo
(2010 EX11),2010-03-03T00:00:00.000,24.1,0.029,0.85,1.06,0.93,9.75,N,Aten
C/2010 E3 (WISE),2010-03-05T00:00:00.000,,1.546,2.27,,,96.48,n/a,Parabolic Comet
(2010 DJ77),2010-02-20T00:00:00.000,21.6,0.05,0.75,1.16,0.93,24.98,Y,Aten
(2010 DH77),2010-02-19T00:00:00.000,21.8,0.146,0.95,5.58,5.9,34.38,N,Apollo
(2010 DG77),2010-02-19T00:00:00.000,21.4,0.009,0.96,3.22,3.02,14.81,Y,Apollo
(2010 DM56),2010-02-19T00:00:00.000,19.9,0.006,0.92,1.69,1.49,25.61,Y,Apollo
(2010 DJ56),2010-02-23T00:00:00.000,19.3,0.028,0.94,1.56,1.4,34.84,Y,Apollo
(2010 DH56),2010-02-20T00:00:00.000,20.3,0.333,0.97,3.51,3.35,33.67,N,Apollo
C/2010 DG56 (WISE),2010-02-18T00:00:00.000,,0.65,1.59,133.48,555.03,160.42,n/a,Comet
(2010 DK34),2010-02-20T00:00:00.000,20.4,0.333,0.65,4.83,4.54,27.34,N,Apollo
(2010 DM21),2010-02-16T00:00:00.000,20.2,0.26,0.98,4.74,4.85,21.15,N,Apollo
C/2010 D4 (WISE),2010-02-28T00:00:00.000,,6.373,7.15,122.19,520.06,105.66,n/a,Comet
C/2010 D3 (WISE),2010-02-26T00:00:00.000,,3.586,4.25,23255.11,1254179.62,76.39,n/a,Comet
P/2010 D2 (WISE),2010-02-25T00:00:00.000,,2.945,3.66,9.72,17.3,57.18,n/a,Jupiter-family Comet*
P/2010 D1 (WISE),2010-02-17T00:00:00.000,,1.683,2.67,5.63,8.45,9.65,n/a,Jupiter-family Comet
(2010 CN141),2010-02-14T00:00:00.000,22.4,0.06,0.91,2.12,1.87,23.8,N,Apollo
(2010 CP140),2010-02-13T00:00:00.000,19.5,0.097,0.88,2.92,2.62,14.47,N,Apollo
(2010 CC55),2010-02-11T00:00:00.000,22.5,0.079,0.82,2.27,1.92,6.78,N,Apollo
(2010 CA55),2010-02-05T00:00:00.000,21.3,0.151,0.67,9.89,12.13,58.85,N,Apollo
(2010 CH18),2010-02-09T00:00:00.000,19,0.333,1.12,4.09,4.21,27.15,N,Amor
(2010 CG18),2010-02-06T00:00:00.000,20.8,0.13,1.11,1.76,1.73,10.15,N,Amor
(2010 CO1),2010-02-01T00:00:00.000,21.5,0.023,0.79,1.23,1.02,24.03,Y,Apollo
P/2010 B2 (WISE),2010-01-22T00:00:00.000,,0.63,1.62,4.6,5.49,8.93,n/a,Encke-type Comet
(2010 AU118),2010-01-13T00:00:00.000,17.7,0.147,1.13,2.12,2.06,43.73,N,Amor
(2010 AG79),2010-01-13T00:00:00.000,19.9,0.244,1.22,4.59,4.95,32.96,N,Amor
(2010 AB78),2010-01-12T00:00:00.000,18.3,0.206,1.02,3.49,3.38,33.26,N,Amor
